model__n_neighbors,model__metric,credit_f1,college_f1,diabetes_f1,penguins_f1,mean_f1
1,euclidean,0.7804743845369604,0.8332911319260761,0.5744739149896587,0.9857142857142858,0.7934884292917452
2,euclidean,0.7446870589761678,0.8034798848159298,0.4819860622480562,0.9857142857142858,0.7539668229386098
3,euclidean,0.8399606801013754,0.8451496931440531,0.619668352400071,0.9894736842105264,0.8235631024640064
4,euclidean,0.8101875261403908,0.8093467600798283,0.5744506069848697,0.9894736842105264,0.7958646443539038
5,euclidean,0.829706276768572,0.8274957090785973,0.6034495400123882,0.9894736842105264,0.8125313025175209
6,euclidean,0.8260968234260263,0.8094260104446518,0.5791668051836119,0.9894736842105264,0.8010408308162041
7,euclidean,0.8385346219550132,0.8146767204185416,0.6321063526587742,0.9894736842105264,0.8186978448107137
8,euclidean,0.8263244986865906,0.7893399488833172,0.610074193337524,0.9894736842105264,0.8038030812794895
9,euclidean,0.8406942560323273,0.8080081080516928,0.6385139931126118,0.993103448275862,0.8200799513681234
10,euclidean,0.833388132034167,0.8017912203631875,0.5938491412757206,0.993103448275862,0.8055329854872342
11,euclidean,0.8451285323122008,0.819694870774254,0.6441857768953202,0.993103448275862,0.8255281570644093
12,euclidean,0.8379398247058456,0.8048960984979221,0.619486504279131,0.993103448275862,0.8138564689396901
13,euclidean,0.8416720675300094,0.8246616684317349,0.6242823062032425,0.993103448275862,0.8209298726102123
14,euclidean,0.8351716534356106,0.8128968867041599,0.5855548263516146,0.993103448275862,0.8066817036918119
15,euclidean,0.8415690396901396,0.8253287129725049,0.6174880052711968,0.993103448275862,0.8193723015524259
16,euclidean,0.8300468265933507,0.8093338469416305,0.6070439780109944,0.993103448275862,0.8098820249554595
17,euclidean,0.8354724345806313,0.819162324805814,0.6334727671850038,1.0,0.8220268816428622
18,euclidean,0.83241417312057,0.8040058943899162,0.6144427830870458,0.993103448275862,0.8109915747183485
19,euclidean,0.8371343840997236,0.8103987156473466,0.6409674265745903,0.993103448275862,0.8204009936493806
20,euclidean,0.8342511143690672,0.7959512045802696,0.6010638356295315,0.993103448275862,0.8060924007136827
21,euclidean,0.8355296282641624,0.7977182866029657,0.618517068717181,0.993103448275862,0.8112171079650428
22,euclidean,0.8319430493166843,0.7872737352737353,0.6198569702898389,0.993103448275862,0.8080443007890301
23,euclidean,0.8331232465281115,0.8001858145957084,0.6381561833680554,0.993103448275862,0.8161421731919343
24,euclidean,0.8338356732301545,0.7893452370161032,0.6072875444438174,0.993103448275862,0.8058929757414843
25,euclidean,0.8416177153700861,0.801196194897544,0.6253719927687388,0.993103448275862,0.8153223378280576
26,euclidean,0.8352610964406855,0.7813685973867969,0.6260797458708443,0.9857142857142858,0.807105931353153
27,euclidean,0.8410735652234574,0.7783316383333447,0.6364646758793527,0.9894736842105264,0.8113358909116702
28,euclidean,0.8269645492475762,0.7772350935036109,0.6159625175172512,0.9894736842105264,0.8024089611197411
29,euclidean,0.8295470950194674,0.7880583044393469,0.618304803539951,0.9894736842105264,0.8063459718023228
30,euclidean,0.8282920193166872,0.7790273635299814,0.6020190244929655,0.9894736842105264,0.79970302288754
1,manhattan,0.7762646727695721,0.8319526665443535,0.5664042717440776,0.9894736842105264,0.7910238238171324
