,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,year,species
0,Torgersen,39.1,18.7,181.0,3750.0,2007,1
1,Torgersen,39.5,17.4,186.0,3800.0,2007,1
2,Torgersen,40.3,18.0,195.0,3250.0,2007,1
3,Torgersen,36.7,19.3,193.0,3450.0,2007,1
4,Torgersen,39.3,20.6,190.0,3650.0,2007,1
5,Torgersen,38.9,17.8,181.0,3625.0,2007,1
6,Torgersen,39.2,19.6,195.0,4675.0,2007,1
7,Torgersen,34.1,18.1,193.0,3475.0,2007,1
8,Torgersen,42.0,20.2,190.0,4250.0,2007,1
9,Torgersen,37.8,17.1,186.0,3300.0,2007,1
10,Torgersen,37.8,17.3,180.0,3700.0,2007,1
11,Torgersen,41.1,17.6,182.0,3200.0,2007,1
12,Torgersen,38.6,21.2,191.0,3800.0,2007,1
13,Torgersen,34.6,21.1,198.0,4400.0,2007,1
14,Torgersen,36.6,17.8,185.0,3700.0,2007,1
15,Torgersen,38.7,19.0,195.0,3450.0,2007,1
16,Torgersen,42.5,20.7,197.0,4500.0,2007,1
17,Torgersen,34.4,18.4,184.0,3325.0,2007,1
18,Torgersen,46.0,21.5,194.0,4200.0,2007,1
19,Biscoe,37.8,18.3,174.0,3400.0,2007,1
20,Biscoe,37.7,18.7,180.0,3600.0,2007,1
21,Biscoe,35.9,19.2,189.0,3800.0,2007,1
22,Biscoe,38.2,18.1,185.0,3950.0,2007,1
23,Biscoe,38.8,17.2,180.0,3800.0,2007,1
24,Biscoe,35.3,18.9,187.0,3800.0,2007,1
25,Biscoe,40.6,18.6,183.0,3550.0,2007,1
26,Biscoe,40.5,17.9,187.0,3200.0,2007,1
27,Biscoe,37.9,18.6,172.0,3150.0,2007,1
28,Biscoe,40.5,18.9,180.0,3950.0,2007,1
29,Dream,39.5,16.7,178.0,3250.0,2007,1
30,Dream,37.2,18.1,178.0,3900.0,2007,1
31,Dream,39.5,17.8,188.0,3300.0,2007,1
32,Dream,40.9,18.9,184.0,3900.0,2007,1
33,Dream,36.4,17.0,195.0,3325.0,2007,1
34,Dream,39.2,21.1,196.0,4150.0,2007,1
35,Dream,38.8,20.0,190.0,3950.0,2007,1
36,Dream,42.2,18.5,180.0,3550.0,2007,1
37,Dream,37.6,19.3,181.0,3300.0,2007,1
38,Dream,39.8,19.1,184.0,4650.0,2007,1
39,Dream,36.5,18.0,182.0,3150.0,2007,1
40,Dream,40.8,18.4,195.0,3900.0,2007,1
41,Dream,36.0,18.5,186.0,3100.0,2007,1
42,Dream,44.1,19.7,196.0,4400.0,2007,1
43,Dream,37.0,16.9,185.0,3000.0,2007,1
44,Dream,39.6,18.8,190.0,4600.0,2007,1
45,Dream,41.1,19.0,182.0,3425.0,2007,1
46,Dream,37.5,18.9,179.0,2975.0,2007,1
47,Dream,36.0,17.9,190.0,3450.0,2007,1
48,Dream,42.3,21.2,191.0,4150.0,2007,1
49,Biscoe,39.6,17.7,186.0,3500.0,2008,1
50,Biscoe,40.1,18.9,188.0,4300.0,2008,1
51,Biscoe,35.0,17.9,190.0,3450.0,2008,1
52,Biscoe,42.0,19.5,200.0,4050.0,2008,1
53,Biscoe,34.5,18.1,187.0,2900.0,2008,1
54,Biscoe,41.4,18.6,191.0,3700.0,2008,1
55,Biscoe,39.0,17.5,186.0,3550.0,2008,1
56,Biscoe,40.6,18.8,193.0,3800.0,2008,1
57,Biscoe,36.5,16.6,181.0,2850.0,2008,1
58,Biscoe,37.6,19.1,194.0,3750.0,2008,1
59,Biscoe,35.7,16.9,185.0,3150.0,2008,1
60,Biscoe,41.3,21.1,195.0,4400.0,2008,1
61,Biscoe,37.6,17.0,185.0,3600.0,2008,1
62,Biscoe,41.1,18.2,192.0,4050.0,2008,1
63,Biscoe,36.4,17.1,184.0,2850.0,2008,1
64,Biscoe,41.6,18.0,192.0,3950.0,2008,1
65,Biscoe,35.5,16.2,195.0,3350.0,2008,1
66,Biscoe,41.1,19.1,188.0,4100.0,2008,1
67,Torgersen,35.9,16.6,190.0,3050.0,2008,1
68,Torgersen,41.8,19.4,198.0,4450.0,2008,1
69,Torgersen,33.5,19.0,190.0,3600.0,2008,1
70,Torgersen,39.7,18.4,190.0,3900.0,2008,1
71,Torgersen,39.6,17.2,196.0,3550.0,2008,1
72,Torgersen,45.8,18.9,197.0,4150.0,2008,1
73,Torgersen,35.5,17.5,190.0,3700.0,2008,1
74,Torgersen,42.8,18.5,195.0,4250.0,2008,1
75,Torgersen,40.9,16.8,191.0,3700.0,2008,1
76,Torgersen,37.2,19.4,184.0,3900.0,2008,1
77,Torgersen,36.2,16.1,187.0,3550.0,2008,1
78,Torgersen,42.1,19.1,195.0,4000.0,2008,1
79,Torgersen,34.6,17.2,189.0,3200.0,2008,1
80,Torgersen,42.9,17.6,196.0,4700.0,2008,1
81,Torgersen,36.7,18.8,187.0,3800.0,2008,1
82,Torgersen,35.1,19.4,193.0,4200.0,2008,1
83,Dream,37.3,17.8,191.0,3350.0,2008,1
84,Dream,41.3,20.3,194.0,3550.0,2008,1
85,Dream,36.3,19.5,190.0,3800.0,2008,1
86,Dream,36.9,18.6,189.0,3500.0,2008,1
87,Dream,38.3,19.2,189.0,3950.0,2008,1
88,Dream,38.9,18.8,190.0,3600.0,2008,1
89,Dream,35.7,18.0,202.0,3550.0,2008,1
90,Dream,41.1,18.1,205.0,4300.0,2008,1
91,Dream,34.0,17.1,185.0,3400.0,2008,1
92,Dream,39.6,18.1,186.0,4450.0,2008,1
93,Dream,36.2,17.3,187.0,3300.0,2008,1
94,Dream,40.8,18.9,208.0,4300.0,2008,1
95,Dream,38.1,18.6,190.0,3700.0,2008,1
96,Dream,40.3,18.5,196.0,4350.0,2008,1
97,Dream,33.1,16.1,178.0,2900.0,2008,1
98,Dream,43.2,18.5,192.0,4100.0,2008,1
99,Biscoe,35.0,17.9,192.0,3725.0,2009,1
100,Biscoe,41.0,20.0,203.0,4725.0,2009,1
101,Biscoe,37.7,16.0,183.0,3075.0,2009,1
102,Biscoe,37.8,20.0,190.0,4250.0,2009,1
103,Biscoe,37.9,18.6,193.0,2925.0,2009,1
104,Biscoe,39.7,18.9,184.0,3550.0,2009,1
105,Biscoe,38.6,17.2,199.0,3750.0,2009,1
106,Biscoe,38.2,20.0,190.0,3900.0,2009,1
107,Biscoe,38.1,17.0,181.0,3175.0,2009,1
108,Biscoe,43.2,19.0,197.0,4775.0,2009,1
109,Biscoe,38.1,16.5,198.0,3825.0,2009,1
110,Biscoe,45.6,20.3,191.0,4600.0,2009,1
111,Biscoe,39.7,17.7,193.0,3200.0,2009,1
112,Biscoe,42.2,19.5,197.0,4275.0,2009,1
113,Biscoe,39.6,20.7,191.0,3900.0,2009,1
114,Biscoe,42.7,18.3,196.0,4075.0,2009,1
